be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
94,10,1,11.6022,17.3666,0.666051,0.745906,0.240455,0.703065,-2.24421,-0.112599,-0.126099
94,10,2,11.4459,17.5062,0.666051,0.745906,0.150284,0.704262,-2.00468,-0.0704945,-0.0789463
95,47,0,12.1389,16.8434,0.715592,0.698519,0.15009,0.700025,-2.85217,-0.075185,-0.0733912
95,47,1,11.9927,16.9931,0.715592,0.698519,0.240144,0.70127,-2.60324,-0.12051,-0.117635
95,47,2,11.8465,17.1429,0.715592,0.698519,0.15009,0.702501,-2.35687,-0.075451,-0.0736508
96,39,0,13.3085,15.3626,0.813436,0.581654,0.189484,0.688785,-5.10011,-0.106165,-0.075914
96,39,1,13.1548,15.5775,0.813436,0.581654,0.303175,0.691393,-4.57847,-0.170507,-0.121922
96,39,2,13.0012,15.7924,0.813436,0.581654,0.189484,0.693963,-4.06458,-0.106963,-0.0764846
97,59,0,13.6908,14.7981,0.829785,0.558084,0.189365,0.682728,-6.31161,-0.107279,-0.0721518
97,59,1,13.5435,15.0172,0.829785,0.558084,0.302984,0.685681,-5.72091,-0.172388,-0.115942
97,59,2,13.3961,15.2363,0.829785,0.558084,0.189365,0.688584,-5.14026,-0.108199,-0.0727707
98,58,0,14.8546,12.9354,0.856316,0.516452,0.211653,0.656764,-11.5043,-0.119033,-0.07179
98,58,1,14.7022,13.1881,0.856316,0.516452,0.338645,0.661367,-10.5837,-0.191788,-0.115669
98,58,2,14.5498,13.4408,0.856316,0.516452,0.211653,0.6659,-9.67723,-0.120689,-0.0727886
99,40,0,15.2424,12.2795,0.861358,0.507999,0.211643,0.644914,-13.8743,-0.117568,-0.0693374
99,40,1,15.0925,12.5337,0.861358,0.507999,0.338628,0.65008,-12.8411,-0.189616,-0.111829
99,40,2,14.9426,12.7879,0.861358,0.507999,0.211643,0.655173,-11.8226,-0.119438,-0.0704404
100,2,0,16.4135,10.2637,0.865728,0.500515,0.218358,0.604539,-21.9494,-0.114281,-0.0660708
100,2,1,16.2611,10.5272,0.865728,0.500515,0.349373,0.610071,-20.843,-0.184523,-0.106681
100,2,2,16.1087,10.7908,0.865728,0.500515,0.218358,0.615545,-19.7482,-0.116362,-0.0672737
101,60,0,16.8049,9.58198,0.867362,0.497678,0.21836,0.591212,-24.6147,-0.111974,-0.0642488
101,60,1,16.6534,9.84605,0.867362,0.497678,0.349376,0.596685,-23.5201,-0.180817,-0.10375
101,60,2,16.5019,10.1101,0.867362,0.497678,0.21836,0.602111,-22.435,-0.114038,-0.0654332
102,107,0,0.0582657,0.454255,0.965932,-0.258795,0.135214,0.654855,-11.8861,-0.0855289,0.0229151
102,107,1,0.107055,0.636357,0.965932,-0.258795,0.216342,0.657814,-11.2943,-0.137465,0.0368299
102,107,2,0.155844,0.818459,0.965932,-0.258795,0.135214,0.660748,-10.7076,-0.0862985,0.0231213
103,44,0,18.4655,-10.5873,-0.972431,-0.233189,0.107269,0.516123,-39.6325,0.0538376,0.0129103
103,44,1,18.5004,-10.7328,-0.972431,-0.233189,0.17163,0.519886,-38.8799,0.0867682,0.020807
103,44,2,18.5353,-10.8782,-0.972431,-0.233189,0.107269,0.523634,-38.1304,0.0546211,0.0130981
104,66,0,18.3739,-10.2122,-0.971305,-0.237835,0.107269,0.509486,-40.96,0.0530836,0.0129981
104,66,1,18.4094,-10.3575,-0.971305,-0.237835,0.17163,0.512737,-40.3098,0.0854757,0.0209297
104,66,2,18.445,-10.5027,-0.971305,-0.237835,0.107269,0.515977,-39.6618,0.0537599,0.0131637
